station,line,towards,countdown,time
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[7, 14, 21, 30, 36, 44, 51, 58, 66]",1638525804.2347567
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[0, 6, 13, 21, 28, 36, 43, 51, 58, 66]",1638525804.2347567
Längenfeldgasse U,12A,Eichenstraße,"[6, 15, 25, 35, 45, 55, 65]",1638525814.5494823
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 12, 22, 31, 41, 51, 61]",1638525814.5494823
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[4, 11, 13, 15, 26, 33, 41, 48, 56, 63]",1638525814.5494823
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 10, 17, 26, 31, 39, 46, 54, 61, 68, 69]",1638525814.5494823
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[3, 13, 23, 33, 43, 53, 63]",1638525814.5494823
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[5, 17, 25, 36, 46, 56, 66]",1638525814.5494823
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638525814.5494823
Längenfeldgasse,U4,HÜTTELDORF,"[4, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638525814.5494823
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638525814.5494823
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 4, 6, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525814.5494823
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[6, 14, 21, 30, 36, 44, 51, 58, 66]",1638525814.5494823
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[0, 6, 13, 21, 28, 36, 43, 51, 58, 66]",1638525814.5494823
Längenfeldgasse U,12A,Eichenstraße,"[6, 15, 25, 35, 45, 55, 65]",1638525824.9383152
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 11, 22, 31, 41, 51, 61]",1638525824.9383152
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[5, 11, 13, 15, 26, 33, 41, 48, 56, 63]",1638525824.9383152
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 10, 17, 23, 31, 39, 46, 54, 61, 68, 69]",1638525824.9383152
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 13, 23, 33, 43, 53, 63]",1638525824.9383152
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[5, 16, 25, 36, 46, 56, 66]",1638525824.9383152
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638525824.9383152
Längenfeldgasse,U4,HÜTTELDORF,"[4, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638525824.9383152
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638525824.9383152
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 2, 6, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525824.9383152
